1,3.999998
1,3.999998
2,5.486064
2,5.486064
3,6.821632
3,6.821632
4,8.202875
4,8.202875
5,9.112477
5,9.112477
6,10.140527
6,10.140527
7,11.163644
7,11.163644
8,11.582521
8,11.582521
9,11.931826
9,11.931826
10,12.615254
10,12.615254
11,13.196344
11,13.196344
12,13.390437
12,13.390437
13,13.519839
13,13.519839
14,14.043819
14,14.043819
15,14.862266
15,14.862266
16,15.434387
16,15.434387
17,16.143543
17,16.143543
18,16.463625
18,16.463625
19,16.787458
19,16.787458
20,17.329843
20,17.329843
21,17.384305
21,17.384305
22,17.714450
22,17.714450
23,18.043190
23,18.043190
24,18.258186
24,18.258186
25,18.276341
25,18.276341
26,18.581896
26,18.581896
27,19.151471
27,19.151471
28,19.979338
28,19.979338
29,20.677776
29,20.677776
30,21.020248
30,21.020248
31,21.586711
31,21.586711
32,21.849307
32,21.849307
33,22.463828
33,22.463828
34,22.461389
34,22.461389
35,22.698296
35,22.698296
36,22.761625
36,22.761625
37,23.271200
37,23.271200
38,23.020577
38,23.020577
39,23.386585
39,23.386585
40,23.289681
40,23.289681
41,23.762950
41,23.762950
42,24.531521
42,24.531521
43,24.912499
43,24.912499
44,25.016654
44,25.016654
45,25.481579
45,25.481579
46,25.577273
46,25.577273
47,26.233608
47,26.233608
48,26.568557
48,26.568557
49,26.863915
49,26.863915
50,27.113839
50,27.113839
51,27.376341
51,27.376341
52,27.390458
52,27.390458
53,27.446107
53,27.446107
54,27.457667
54,27.457667
55,27.805620
55,27.805620
56,28.274601
56,28.274601
57,28.488022
57,28.488022
58,29.283790
58,29.283790
59,29.397691
59,29.397691
60,29.780510
60,29.780510
61,30.073851
61,30.073851
62,30.132900
62,30.132900
63,30.125322
63,30.125322
64,30.452924
64,30.452924
65,30.572395
65,30.572395
66,30.968659
66,30.968659
67,30.998889
67,30.998889
68,31.140746
68,31.140746
69,31.206051
69,31.206051
70,31.559906
70,31.559906
71,31.725699
71,31.725699
72,31.819376
72,31.819376
73,31.816797
73,31.816797
74,32.304175
74,32.304175
75,32.560329
75,32.560329
76,32.249796
76,32.249796
77,32.664455
77,32.664455
78,32.806318
78,32.806318
79,32.698248
79,32.698248
80,32.867156
80,32.867156
81,33.258413
81,33.258413
82,33.875867
82,33.875867
83,34.301033
83,34.301033
84,34.795639
84,34.795639
85,34.918430
85,34.918430
86,35.259719
86,35.259719
87,35.282197
87,35.282197
88,35.386227
88,35.386227
89,35.188522
89,35.188522
90,35.477373
90,35.477373
91,34.923993
91,34.923993
92,34.989166
92,34.989166
93,35.302869
93,35.302869
94,35.814195
94,35.814195
95,36.139566
95,36.139566
96,36.295677
96,36.295677
97,36.615351
97,36.615351
98,36.669688
98,36.669688
99,36.543869
99,36.543869
100,36.441951
100,36.441951
101,36.282672
101,36.282672
102,36.646321
102,36.646321
103,37.033676
103,37.033676
104,37.292656
104,37.292656
105,37.699181
105,37.699181
106,37.652726
106,37.652726
107,37.828943
107,37.828943
108,38.026730
108,38.026730
109,38.126830
109,38.126830
110,37.976809
110,37.976809
111,38.133535
111,38.133535
112,38.387859
112,38.387859
113,38.204199
113,38.204199
114,37.879638
114,37.879638
115,37.697032
115,37.697032
116,37.900732
116,37.900732
117,38.074783
117,38.074783
118,38.620879
118,38.620879
119,39.074466
119,39.074466
120,39.821289
120,39.821289
121,40.305618
121,40.305618
122,40.592615
122,40.592615
123,40.752498
123,40.752498
124,40.983498
124,40.983498
125,40.922380
125,40.922380
126,41.046662
126,41.046662
127,41.301899
127,41.301899
128,41.472146
128,41.472146
129,41.620347
129,41.620347
130,41.710207
130,41.710207
131,41.796219
